Lebensmittel;Einheit;kcal;PRO;FAT;KH;FIB;GI;Standard;LiquidMl;Kategorie;Zusatzinfo;vitA;vitB1;vitB2;vitB3;vitB5;vitB6;vitB7;vitB9;vitB12;vitC;vitD;vitE;vitK;calcium;chlorid;eisen;fluorid;kalium;kupfer;magnesium;mangan;natrium;phosphor;schwefel;zink;VGN;VGT;LC;HP;KET;GF;LF;ZF
"Ananas";100g;50;0.5;0.1;12.4;1.4;59;150;;Obst;"Enthält Bromelain";7;0.08;0.03;0.2;0.16;0.08;0.1;11;;47;;0.1;0.7;13;20;0.3;0.01;180;0.11;12;0.93;1;8;5;0.12;J;J;N;N;N;J;J;N
"Apfel";100g;52;0.3;0.2;11.4;2.4;35;150;;Obst;"Durchschnittswerte für einen rohen Apfel mit Schale";6;0.02;0.03;0.1;0.1;0.05;1;8;;12;;0.5;2.2;6;2;0.2;0.01;107;0.05;5;0.05;1;12;5;0.1;J;J;N;N;N;J;J;N
"Apfelsaft";100ml;46;0.1;0.1;11;0.2;40;200;100;Getränke;"Direktsaft, naturtrüb";;1;0.02;0.01;0.1;0.05;0.04;0.5;2;;2;;0.02;0.1;7;2;0.2;0.01;120;0.02;5;0.05;2;12;5;J;J;N;N;N;J;J;N
"Apfelschorle";100ml;27;0.1;0.1;6.2;0.1;40;250;100;Getränke;"Mischverhältnis ca. 50% Apfelsaft und 50% Mineralwasser";1;0.01;0.01;0.1;0.03;0.02;0.1;1;;1;;0.05;0.3;4;2;0.1;0.01;67;0.01;3;0.05;2;5;2;0.02;J;J;N;N;N;J;J;N
"Appenzeller 50 %";100g;394;25.4;32.1;0.1;0;;30;;Käse;"Hartkäse aus der Schweiz, laktosefrei durch lange Reifung.";320;0.04;0.4;0.1;0.4;0.08;;25;2.1;;1.1;0.8;3;730;1200;0.2;;90;0.03;28;0.02;780;530;;4.1;N;J;J;J;J;J;J;J
"Aprikose";100g;43;0.9;0.1;8.6;1.5;35;150;;Obst;"Reich an Vitamin A";285;0.03;0.03;0.6;0.2;0.05;1;5;;9;;0.9;4;16;1;0.4;0.01;280;0.08;9;0.04;2;22;14;0.1;J;J;N;N;N;J;J;N
"Aubergine";100g;25;1.2;0.2;3;2.8;15;200;;Gemüse;"Frisch, roh gegart ähnlich";2;0.04;0.03;0.6;0.3;0.08;0.1;18;;5;;0.1;3.5;13;45;0.4;0.01;224;0.06;12;0.2;3;21;14;0.2;J;J;J;N;N;J;J;J
"Austernpilze";100g;11;2.5;0.2;1;2.3;15;150;;Gemüse;"Auch Kalbfleischpilz genannt, reich an Vitaminen der B-Gruppe.";;0.13;0.2;4.8;0.5;0.1;10;30;;2;0.7;0.1;1;3;25;0.9;0.01;420;0.1;18;0.1;5;105;30;0.7;J;J;J;N;J;J;J;J
"Avocado";100g;160;2;14.7;8.5;6.7;10;125;;Obst;"Werte variieren je nach Reifegrad und Sorte (z.B. Hass oder Fuerte). Hoher Gehalt an einfach ungesättigten Fettsäuren.";7;0.07;0.13;1.7;1.4;0.26;10;81;;10;;2.1;21;12;10;0.6;0.01;485;0.19;29;0.14;7;52;14;0.6;J;J;N;N;N;J;J;J
"Backpulver";100g;100;0;0;25;0;;15;;Sonstiges;"Werte variieren stark je nach Triebmittel (Weinstein vs. Natriumhydrogencarbonat/Phosphat)";;;;;;;;;;;;;;73;;0.1;;3300;;2;;9400;9300;;0.1;J;J;N;N;N;J;J;J
"Banane";100g;89;1.1;0.3;20.2;2;52;120;;Obst;"Reich an Kalium";8;0.04;0.03;0.7;0.25;0.37;2.6;14;;11;;0.3;1;5;79;0.3;0.01;393;0.1;36;0.15;1;28;13;0.2;J;J;N;N;N;J;J;N
"Beinscheibe (Rind)";100g;165;20.1;9.5;0;0;;250;;Fleisch&Wurst;"Roher Zustand, mit Knochenmarkanteil aber ohne Knochen berechnet. Hoher Bindegewebsanteil.";5;0.08;0.18;4.5;0.5;0.35;3;8;2.2;;0.1;0.2;2;6;45;2.5;0.03;330;0.1;22;0.02;50;180;210;4.5;N;N;J;J;J;J;J;J
"Bergkäse 45 %";100g;395;27.5;32.1;0.1;0;;30;;Käse;"Hartkäse aus Heumilch, lange gereift";280;0.04;0.4;0.1;0.4;0.08;3;25;2.1;;1.1;0.7;3.2;1100;1200;0.5;0.04;110;0.04;45;0.02;650;680;240;4.5;N;J;J;J;J;J;J;J
"Bierschinken";100g;165;15.5;11;1;0;;20;;Fleisch&Wurst;"Werte können je nach Hersteller und Fettanteil leicht variieren. Hoher Natriumgehalt durch Pökelsalz.";10;0.5;0.2;4.5;0.6;0.3;1.5;5;1.2;;0.4;0.2;1;10;1200;1.5;0.04;280;0.1;15;0.02;850;180;180;2.2;N;N;J;J;J;J;J;J
"Bionade Holunder";100ml;23;0.1;0.1;5.2;0.1;35;330;100;Getränke;"Biologisches Erfrischungsgetränk durch Fermentation von Malz gewonnen. Weniger Zucker als herkömmliche Limonaden.";;0.01;0.01;0.1;0.02;0.01;;1;;;;;;2;1;0.02;0.01;5;0.01;2;0.01;1;2;1;0.01;J;J;N;N;N;J;J;N
"Birne";100g;57;0.5;0.3;12.4;2.8;38;150;;Obst;"Frisch, mit Schale";2;0.02;0.03;0.2;0.07;0.03;0.1;7;;5;;0.5;4.4;9;2;0.2;0.01;126;0.08;7;0.03;2;15;5;0.1;J;J;N;N;N;J;J;N
"Bitter Lemon";100ml;52;0;0;12.4;0;65;250;100;Getränke;"Enthält Chinin";;0.01;0.01;0.1;0.01;0.01;;2;;3;;0.01;;2;1;0.02;0.01;5;0.01;1;0.01;5;1;1;0.01;J;J;N;N;N;J;J;N
"Blattspinat";100g;23;2.9;0.3;0.5;2.2;15;200;;Gemüse;"Frischer roher Blattspinat";;789;0.08;0.2;0.6;0.1;0.2;7;194;;30;;2;483;99;60;2.7;0.01;558;0.13;79;0.89;79;49;24;J;J;J;N;J;J;J;J
"Blumenkohl";100g;25;2.4;0.3;2;2.3;15;200;;Gemüse;"Frisch, roh verzehrt oder gegart. Reich an Vitamin C und K.";2;0.09;0.09;0.6;0.6;0.2;1.5;88;;48;;0.1;16;20;45;0.5;0.01;282;0.04;15;0.16;8;50;50;0.3;J;J;J;N;J;J;J;J
"Blutwurst";100g;378;14.6;34.5;1.3;0;;80;;Fleisch&Wurst;"Hoher Eisengehalt";20;0.03;0.12;2.2;0.5;0.1;1.5;4;1.1;;0.4;0.2;1;12;1000;18;0.1;120;0.1;15;0.04;800;120;140;2.5;N;N;J;N;J;J;J;J
"Bockwurst";100g;287;12.5;26.5;0.5;0;;100;;Fleisch&Wurst;"Geräucherte Brühwurst im Naturdarm. Durchschnittswerte, können je nach Hersteller variieren.";20;0.2;0.15;3.5;0.5;0.2;1.5;5;1.1;;0.3;0.2;1;15;1450;1.4;0.04;210;0.1;13;0.02;900;160;140;2.1;N;N;J;N;J;J;J;J
"Bratwurst (Lamm)";100g;286;16.8;24.1;0.5;0;;100;;Fleisch&Wurst;"Werte können je nach Fettanteil und Würzung variieren. Hoher Natriumgehalt durch Pökelsalz/Speisesalz.";2;0.12;0.18;4.8;0.5;0.2;2.5;4;2.1;1;0.4;0.3;4;12;800;1.8;0.04;250;0.1;18;0.03;780;160;190;2.9;N;N;J;J;J;J;J;J
"Bratwurst (Rind)";100g;246;15.8;20.1;0.5;0;;100;;Fleisch&Wurst;"Reich an Eisen";;0.08;0.15;3.8;0.5;0.25;1.5;6;2.1;;0.3;0.2;2.5;12;1250;2.1;0.04;280;0.1;18;0.02;850;160;180;3.2;N;N;J;J;J;J;J;J
"Bratwurst (Schwein)";100g;312;13.5;28.5;0.5;0;;100;;Fleisch&Wurst;"Durchschnittswerte für gebrühte Schweinebratwurst. Salzgehalt kann variieren.";15;0.35;0.18;3.8;0.5;0.25;2;4;0.9;;0.4;0.2;1;12;1200;1.4;0.12;210;0.08;15;0.04;850;165;140;2.1;N;N;J;N;J;J;J;J
"Brie 50 %";100g;334;20;28;0.1;0;;30;;Käse;"Ein französischer Weichkäse mit weißem Edelschimmel. Die Fettangabe bezieht sich auf die Trockenmasse.";240;0.04;0.4;0.6;0.5;0.2;3;60;1.5;;0.3;0.6;3;400;1200;0.5;0.04;150;0.05;25;0.02;650;300;240;3.5;N;J;J;J;J;J;J;J
"Brokkoli";100g;34;2.8;0.4;2.7;3;15;200;;Gemüse;"Frischer, roher Brokkoli. Reich an Vitamin C und K.";71;0.07;0.12;0.6;0.57;0.18;1.5;108;;89;;0.8;102;47;21;0.7;0.01;316;0.06;21;0.2;33;66;140;0.4;J;J;J;J;J;J;J;J
"Brombeeren";100g;43;1.2;1;4.9;5.3;25;125;;Obst;"Frisch, roh";0.003;15;0.03;0.04;0.4;0.24;0.05;0.4;30;21;21;1.1;1.2;20;29;8;0.6;0.02;162;0.1;20;0.6;1;22;14;J;J;N;N;N;J;J;N
"Burrata";100g;250;16;20;1.5;0;;125;;Käse;"Frischkäsespezialität aus Kuhmilch mit cremigem Kern.";220;0.03;0.3;0.1;0.3;0.05;0.005;0.018;1.3;;0.5;0.6;;450;450;0.1;;80;;15;;350;350;;2.5;N;J;J;J;J;J;N;J
"Bulgur";100g;342;12.3;1.3;63.3;12.5;48;75;;Brot&Teigwaren;"Werte beziehen sich auf das Trockenprodukt. Im gekochten Zustand sinken die Werte pro 100g durch die Wasseraufnahme erheblich.";;0.27;0.12;5.1;1.05;0.34;1.2;27;;;;0.8;1.9;35;45;2.5;0.02;410;0.24;164;3;17;300;110;1.9;J;J;N;N;N;N;J;J
"Butter";100g;741;0.7;82.2;0.7;0;;10;;Öle&Fette;"Gesalzene Butter kann einen höheren Natrium- und Chloridgehalt aufweisen.";650;;0.02;0.1;0.05;0.01;1.2;2;0.2;;1.2;2;7;15;21;0.1;0.02;16;0.01;1;;7;21;14;0.1;N;J;J;N;J;J;J;J
"Cabanossi";100g;448;18.5;41.5;1;0;;50;;Fleisch&Wurst;"Enthält Nitritpökelsalz";;0.4;0.2;4.5;;0.3;;;1.5;;;0.5;;15;1450;2.2;;380;;22;;1300;180;;3.2;N;N;J;J;J;J;J;J
"Camembert 30 %";100g;230;23.5;15;0.1;0;;30;;Käse;"Fettgehalt absolut ca. 15% bei 30% Fett i. Tr.";180;0.04;0.45;0.6;0.6;0.15;4;45;2.1;;0.4;0.2;3;420;1000;0.4;;120;0.04;15;0.02;650;320;;2.5;N;J;J;J;J;J;N;J
"Camembert 45 %";100g;299;20.1;24.2;0.1;0;;30;;Käse;"Werte variieren je nach Reifegrad. Durchschnittswerte für 45% Fettstufe.";220;0.05;0.4;0.2;0.6;0.1;1.5;75;2.2;;0.3;0.3;3;400;1200;0.2;0.04;120;0.02;20;0.01;800;320;240;3.1;N;J;J;J;J;J;N;J
"Camembert 60 %";100g;351;18;31;0.1;0;;30;;Käse;"60% Fett i. Tr. entspricht ca. 31g absolutem Fettgehalt.";280;0.05;0.5;0.6;0.5;0.2;3;35;2;;0.5;0.8;3;400;800;0.5;0.04;120;0.05;20;0.02;800;300;210;3;N;J;J;J;J;J;N;J
"Cashewkerne";100g;553;18.2;43.8;30.2;3.3;25;30;;Nüsse&Samen;"Geröstet und ungesalzen als Basis für Nährwerte";;0.42;0.06;1.1;0.86;0.42;13;25;;0.5;;0.9;34.1;37;18;6.7;0.14;660;2.2;292;1.6;12;593;200;5.8;J;J;N;J;N;J;J;J
"Cervelatwurst";100g;380;15;35;1.5;0;;20;;Fleisch&Wurst;"Enthält Nitritpökelsalz";;0.35;0.2;4.5;;0.3;;;1.5;;;0.5;;15;1500;2.5;;330;;20;;1300;180;;3.2;N;N;J;J;J;J;J;J
"Champignons";100g;22;2.7;0.2;0.6;2.5;15;150;;Gemüse;"Frisch, weiß oder braun (Agaricus bisporus)";;0.1;0.4;4.8;2.1;0.1;16;25;;3;1.9;0.1;;6;18;1;0.02;390;0.3;14;0.1;5;115;30;0.5;J;J;J;J;J;J;J;J
"Cheddar 50 %";100g;403;24.9;33.1;1.3;0;;30;;Käse;"Werte variieren leicht je nach Reifegrad. Reich an Calcium und Vitamin A.";330;0.03;0.37;0.1;0.34;0.07;2;18;1.1;;0.2;0.6;2.4;721;1100;0.7;0.04;102;0.03;28;0.03;650;512;240;3.9;N;J;J;J;J;J;J;J
"Cherrytomaten";100g;18;0.9;0.2;2.6;1.2;15;15;;Gemüse;"Frisch, rot, durchschnittliche Werte für kleine Tomatensorten.";42;0.06;0.04;0.5;0.1;0.1;1;15;;14;;0.5;7.9;5;25;0.3;0.02;242;0.06;11;0.07;3;24;11;0.1;J;J;J;N;J;J;J;N
"Chia-Samen";100g;444;16.5;31;4.9;34;1;15;;Nüsse&Samen;"Hoher Gehalt an Omega-3-Fettsäuren und Ballaststoffen.";54;0.6;0.17;8.8;;;;49;;1.6;;0.5;;631;;7.7;;407;0.9;335;2.7;16;860;;4.6;J;J;J;J;J;J;J;J
"Chinakohl";100g;13;1.2;0.2;1.2;1.2;10;200;;Gemüse;"Reich an Vitamin C und K";22;0.03;0.04;0.4;0.1;0.1;1;40;;26;;0.1;43;40;25;0.6;0.01;145;0.04;11;0.15;9;29;20;0.2;J;J;J;N;J;J;J;J
"Chorizo";100g;455;24.1;38.2;1.9;0;;30;;Fleisch&Wurst;"Spanische Rohwurst mit Paprika und Knoblauch. Werte können je nach Reifegrad variieren.";45;0.42;0.25;4.8;;0.35;;5;1.2;;0.7;0.5;;15;1800;1.6;;380;;22;;1235;185;;2.9;N;N;J;J;J;J;J;J
"Clementine";100g;46;0.7;0.1;9.2;1.7;30;75;;Obst;"Frisch, geschält. Reich an Vitamin C.";45;0.06;0.04;0.2;0.2;0.06;1;26;;30;;0.2;;30;1;0.4;0.01;177;0.04;11;0.04;1;20;10;0.4;J;J;N;N;N;J;J;N
"Club Mate";100ml;20;0;0;5;0;60;500;100;Getränke;"Enthält Koffein (20mg/100ml)";;;;;;;;;;;;;;;;;;;;;;;;;;J;J;N;N;N;J;J;N
"Coca-Cola Classic";100ml;42;0;0;10.6;0;63;250;100;Getränke;"Enthält Koffein und Phosphorsäure";;;;;;;;;;;;;;2;4;0.1;0.01;2;0.01;1;0.01;4;17;1;0.01;J;J;N;N;N;J;J;N
"Coca-Cola Zero";100ml;0.2;0;0;0;0;;250;100;Getränke;"Enthält Koffein und Süßungsmittel (Aspartam, Acesulfam-K). Phosporsäure dient als Säuerungsmittel.";;;;;;;;;;;;;;2;4;;0.02;2;;1;;10;13;1;;J;J;J;N;J;J;J;J
"Couscous";100g;353;12.8;1.8;71.2;5;65;60;;Brot&Teigwaren;"Werte beziehen sich auf das Trockenprodukt. Couscous wird aus Hartweizengrieß hergestellt.";;0.16;0.04;3.5;0.6;0.11;;20;;;;0.2;0.1;24;;1.1;;166;0.25;44;0.8;10;170;;0.8;J;J;N;N;N;N;J;J
"Dorade";100g;105;19.8;2.7;0;0;;200;;Fisch&Meeresfrüchte;"Auch als Goldbrasse bekannt";0.015;15;0.08;0.12;3.5;0.6;0.35;4;12;2.8;0.004;3;0.8;1;30;120;1.1;0.1;380;0.04;33;0.02;85;220;240;N;N;J;J;J;J;J;J
"Dr Pepper";100ml;42;0;0;10.8;0;70;330;100;Getränke;"Werte können je nach Region und Rezeptur leicht variieren. Enthält Koffein und Phosphorsäure.";;;;;;;;;;;;;;2;;;;1;;1;;15;14;;;J;J;N;N;N;J;J;N
"Drachenfrucht";100g;50;1.2;0.4;11;1.4;50;150;;Obst;"Auch als Pitaya bekannt. Reich an Antioxidantien.";2;0.04;0.04;0.4;0.2;0.04;;0.01;;9;;0.1;;9;;0.6;;190;0.07;28;0.04;2;23;;0.1;J;J;N;N;N;J;J;N
"Edamer 30 %";100g;256;27.1;16.4;0;0;;30;;Käse;"Fettgehalt absolut ca. 16-17 %";0.2;160;0.04;0.32;0.1;0.3;0.08;2.5;25;2.1;0.0003;0.2;0.3;3;800;800;0.4;100;90;0.04;30;0.01;650;520;3;N;J;J;J;J;J;J;J
"Edamer 40 %";100g;312;25.8;22.9;0.1;0;;30;;Käse;"Enthält Laktose";220;0.03;0.3;0.1;0.3;0.07;2;20;2.1;;0.2;0.6;3;731;1000;0.4;0.04;80;0.03;30;0.01;640;510;220;3.8;N;J;J;J;J;J;J;J
"Eistee Pfirsich";100ml;30;0.1;0.1;7.2;0;60;250;100;Getränke;"Durchschnittswerte für gezuckerten Pfirsich-Eistee auf Schwarztee-Basis.";2;;;0.1;0.01;0.01;0.1;1;;1;;0.01;0.1;2;1;0.02;0.01;12;0.01;1;0.04;4;1;1;0.01;J;J;N;N;N;J;J;N
"Emmentaler 45 %";100g;382;28.5;30.6;0;0;;30;;Käse;"Hartkäse aus Kuhmilch";285;0.05;0.3;0.1;0.25;0.08;1.8;20;2.1;;0.7;0.6;3.8;1020;240;0.5;0.04;105;0.03;33;0.02;150;630;240;4.6;N;J;J;J;J;J;J;J
